"","link","query_n","address","lng","lat","price_min","price_max","reviews_lng","reviews_rating","reviews_type","reviews_counts","com_rat","cuisine","reviews_lng1","reviews_lng2","reviews_lng3","reviews_lng4","reviews_lng5","reviews_lng6","reviews_lng7","reviews_lng8","reviews_lng9","reviews_lng10","reviews_lng11","reviews_lng12","reviews_lng13","reviews_lng14","reviews_lng15","reviews_lng16","reviews_lng17","reviews_lng18","reviews_lng19","reviews_type1","reviews_type2","reviews_type3","reviews_type4","reviews_type5","reviews_counts1","reviews_counts2","reviews_counts3","reviews_counts4","reviews_counts5","com_rat1","com_rat2","com_rat3","com_rat4","com_rat1","com_rat2","com_rat3","com_rat4"
"1","https://www.tripadvisor.ru/Restaurant_Review-g294212-d2428737-Reviews-TRB-Beijing.html",1,"No.23, Songzhu Temple, Shatan N St, Dongcheng Dist, Пекин 100009, Китай ","116.40348","39.928143","1665","4134","824, 972, 71, 64, 57, 25, 24, 20, 19, 9, 9, 5, 4, 2, 1, 1, 1, 1, 1","4.5","116, 303, 24, 89, 203","683, 97, 27, 13, 4","4,5, 5, 4,5, 5","
Французская, Европейская, Подходит для вегетарианцев, Безглютеновые блюда, Для веганов
",99,122,46,38,25,12,13,9,6,13,11,6,5,3,2,2,2,2,2,6,33,16,39,19,71,60,18,7,11,"4,5,","5,","4,5,","5","4 5 ","5 ","4 5 ","5"
"2","https://www.tripadvisor.ru/Restaurant_Review-g294212-d1581964-Reviews-Black_Sesame_Kitchen-Beijing.html",2,"No.28 Zhonglao Hutong, Dongcheng District, Пекин 100000, Китай ","116.40089","39.92447","2870","2870","397, 515, 20, 18, 17, 10, 7, 7, 5, 5, 4, 4, 4, 3, 1","4.5","66, 128, 16, 23, 122","324, 48, 16, 5, 4","4,5, 5, 4,5, 5","
Китайская, Азиатская
",60,84,16,13,9,3,21,17,11,10,8,5,5,4,2,1,1,1,1,38,11,10,19,7,40,44,10,17,11,"4,5,","5,","4,5,","5","4 5 ","5 ","4 5 ","5"
"3","https://www.tripadvisor.ru/Restaurant_Review-g294212-d3330316-Reviews-King_s_Joy_Beijing-Beijing.html",3,"No. 2 Wudaoying Hutong, Dongcheng District, Beijing, Пекин 100027, Китай ","116.4164","39.948082","3330","4134","97, 117, 115, 112, 7, 6, 3, 2, 1, 1","4.5","20, 25, 5, 11, 25","77, 13, 4, 2, 1","4,5, 4,5, 4, 5","
Китайская, Азиатская, Подходит для вегетарианцев, Для веганов, Безглютеновые блюда
",107,13,6,6,27,19,14,8,2,2,1,1,1,1,1,1,1,1,1,18,26,21,5,24,74,10,24,11,3,"4,5,","4,5,","4,","5","4 ","4 5 ","4 ","5"
"4","https://www.tripadvisor.ru/Restaurant_Review-g294212-d2264025-Reviews-BeiJing_Haidilao_Hot_Pot_Wangfujing-Beijing.html",4,"8/F, In 88 Shopping Mall, No.88 Wangfujing Main Street, Dongcheng District, Пекин, Китай ","116.41156","39.915916",NA,NA,"235, 261, 62, 59, 18, 15, 13, 9, 9, 8, 3, 3, 3, 1, 1, 1, 1","4.5","56, 62, 5, 14, 62","151, 70, 13, 1, 0","4,5, 4,5, 4,5, 4,5","
Китайская, Азиатская
",36,47,44,36,10,6,6,19,14,12,7,4,4,2,2,2,2,1,1,36,45,21,9,44,17,53,7,3,2,"4,5,","4,5,","4,5,","4,5","4 5 ","4 5 ","4 5 ","4 5"
"5","https://www.tripadvisor.ru/Restaurant_Review-g294212-d2102894-Reviews-Little_Yunnan-Beijing.html",5,"No.28 Huangchenggen North Street, Dongcheng District, Пекин 100010, Китай ","116.40689","39.92689","574","861","133, 141, 25, 13, 11, 10, 8, 7, 2, 2, 2, 2, 1, 1, 1, 1","4.5","14, 53, 8, 9, 35","89, 37, 4, 3, 0","4,5, 4,5, 4,5, 4","
Китайская, Азиатская, Юньнань
",13,22,21,8,4,3,22,17,7,5,6,3,2,2,2,2,1,1,1,10,42,24,40,33,77,38,24,14,2,"4,5,","4,5,","4,5,","4","4 5 ","4 5 ","4 5 ","4"
"6","https://www.tripadvisor.ru/Restaurant_Review-g294212-d6579245-Reviews-Garden_At_Lama_Temple-Beijing.html",6,"No.14 of Guanshuyuan Hutong, Yonghegong Inner street, Dongcheng District, Пекин 100013, Китай ","116.41812","39.939236","574","1435","108, 122, 10, 5, 4, 4, 3, 3, 3, 2, 2, 1, 1","5.0","25, 27, 12, 6, 27","98, 10, 0, 0, 0","5, 5, 5, 5","
Китайская, Фьюжн, Подходит для вегетарианцев
",8,16,3,34,21,16,14,12,9,5,6,2,2,1,1,1,1,1,1,21,28,6,33,26,81,4,2,2,2,"5,","5,","5,","5","5 ","5 ","5 ","5"
"7","https://www.tripadvisor.ru/Restaurant_Review-g294212-d1047791-Reviews-Din_Tai_Fung_Yuyang-Beijing.html",7,"24 Xinyuanxili Zhongjie, Chaoyang District, Пекин, Китай ","116.44486","39.94639","287","1148","201, 264, 41, 32, 30, 23, 20, 11, 10, 9, 5, 2, 2, 2, 1, 1","4.5","40, 35, 8, 30, 40","123, 64, 10, 4, 0","4,5, 4, 4, 4","
Китайская, Азиатская, Тайваньская, Подходит для вегетарианцев, Безглютеновые блюда
",31,49,36,27,20,10,11,4,3,13,9,3,3,3,2,2,1,1,1,31,36,24,25,38,10,49,4,15,2,"4,5,","4,","4,","4","4 ","4 ","4 ","4"
"8","https://www.tripadvisor.ru/Restaurant_Review-g294212-d4787421-Reviews-Grandma_Creative_Kitchen-Beijing.html",8,"No.6 Fangzhuanchang Hutong, Di'anmen Wai Main Street, Dongcheng District, Пекин 100009, Китай ",NA,NA,"402","1665","67, 68, 22, 21, 5, 3, 2, 2, 2, 2","5.0","15, 16, 9, 4, 16","52, 13, 1, 1, 0","5, 5, 4,5","
Китайская, Азиатская, Подходит для вегетарианцев, Для веганов
",85,96,18,16,23,13,10,8,7,5,1,1,1,1,1,1,1,1,1,11,15,25,28,12,61,10,3,3,2,"5,","5,","4,5","","4 5","5 ","4 5",""
"9","https://www.tripadvisor.ru/Restaurant_Review-g294212-d3808190-Reviews-Lost_Heaven_Beijing-Beijing.html",9,"No.23, Qian Men Dong Da Jie, Пекин, Китай ","116.40187","39.90167",NA,NA,"276, 300, 22, 21, 15, 14, 14, 12, 6, 5, 4, 3, 1, 1, 1","4.5","37, 86, 14, 27, 69","175, 80, 14, 6, 1","4,5, 4,5, 4, 4,5","
Китайская, Азиатская, Юньнань, Подходит для вегетарианцев
",41,55,18,16,8,5,7,5,13,10,8,4,2,2,2,1,1,1,1,29,51,8,21,47,22,56,8,18,3,"4,5,","4,5,","4,","4,5","4 ","4 5 ","4 ","4 5"
"10","https://www.tripadvisor.ru/Restaurant_Review-g294212-d4754416-Reviews-Siji_Minfu_Restaurant_Peking_Roast_Duck_Dengshikou-Beijing.html",10,"1/F, Donghua Restaurant, No.32 Dengshikou West Street, Dongcheng District, Пекин, Китай ","116.4089","39.918427",NA,NA,"411, 448, 43, 40, 30, 30, 30, 28, 19, 16, 10, 9, 6, 3, 2, 2, 1","4.5","96, 126, 19, 29, 92","262, 107, 26, 11, 5","4,5, 4,5, 4,5, 4,5","
Китайская, Азиатская, Подходит для вегетарианцев
",64,76,37,31,20,14,15,11,6,4,3,9,7,4,3,3,2,1,1,43,10,12,23,52,33,6,17,5,12,"4,5,","4,5,","4,5,","4,5","4 5 ","4 5 ","4 5 ","4 5"
"11","https://www.tripadvisor.ru/Restaurant_Review-g294212-d812015-Reviews-Dadong_Roast_Duck_Nanxincang-Beijing.html",11,"1-2 Nanxincang Guoji Dasha, 22A Dongsishitiao, Dongcheng district, Пекин 100007, Китай ","116.43082","39.93228","861","1148","983, 1, 98, 85, 85, 68, 61, 54, 50, 24, 8, 6, 4, 3, 3, 2, 2, 1, 1, 1","4.5","157, 234, 26, 138, 177","552, 286, 97, 27, 21","4,5, 4, 4, 4","
Китайская, Азиатская
",109,2,52,43,29,20,20,15,12,7,10,7,5,4,4,3,3,2,3,12,24,17,8,14,63,30,34,13,8,"4,5,","4,","4,","4","4 ","4 ","4 ","4"
"12","https://www.tripadvisor.ru/Restaurant_Review-g294212-d4772023-Reviews-Great_Leap_Brewing_12_Brewpub-Beijing.html",12,"DongCheng District XinZhong Street B 12, Zi Ming Mansion 1 Floor, Пекин, Китай ","116.44218","39.936558","287","574","189, 220, 6, 6, 6, 5, 3, 2, 1, 1, 1, 1, 1, 1, 1","4.5","20, 33, 16, 16, 79","107, 69, 9, 3, 1","4,5, 4, 4, 4,5","
Американская, Бар, Паб, Паб с пивоварней
",26,39,42,37,26,18,14,8,2,2,2,2,2,2,2,1,1,1,1,18,34,10,11,49,5,51,32,14,3,"4,5,","4,","4,","4,5","4 ","4 ","4 ","4 5"
"13","https://www.tripadvisor.ru/Restaurant_Review-g294212-d1541503-Reviews-BeiJing_Dadong_Roast_Duck_JinBao_Hui-Beijing.html",13,"Jinbao Place, No.88 Jinbao Street, Dongcheng District, Пекин, Китай ","116.421295","39.915455",NA,NA,"673, 826, 53, 52, 50, 49, 45, 26, 22, 21, 11, 6, 2, 1, 1, 1, 1, 1","4.5","137, 215, 20, 86, 140","367, 192, 69, 23, 22","4,5, 4, 4, 4,5","
Китайская, Азиатская
",86,112,40,35,24,17,17,10,8,6,4,7,3,2,2,2,2,2,1,9,21,14,38,10,45,19,29,12,9,"4,5,","4,","4,","4,5","4 ","4 ","4 ","4 5"
"14","https://www.tripadvisor.ru/Restaurant_Review-g294212-d3208489-Reviews-Fratelli_Fresh-Beijing.html",14,"61 Dongsanhuan Middle Road,Renaissance Beijing Capital Hotel, Пекин, Китай ","116.46097","39.898113",NA,NA,"143, 170, 18, 10, 8, 4, 3, 3, 2, 1, 1, 1, 1","4.5","17, 24, 17, 38, 29","116, 18, 5, 4, 0","5, 5, 4,5, 4,5","
Итальянская, Пицца, Средиземноморская, Подходит для вегетарианцев
",16,30,13,3,28,16,14,12,7,2,2,2,2,1,1,1,1,1,1,14,25,11,27,28,7,17,25,15,2,"5,","5,","4,5,","4,5","4 5 ","5 ","4 5 ","4 5"
"15","https://www.tripadvisor.ru/Restaurant_Review-g294212-d8548826-Reviews-TRB_Bites-Beijing.html",15,"No.95 Donghuamen Main Street, Dongcheng District, Пекин 100006, Китай ","116.40247","39.915363","517","976","151, 159, 18, 18, 9, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1","4.5","23, 50, 5, 18, 37","122, 21, 5, 3, 0","4,5, 5, 4,5","
Европейская, Современная, Безглютеновые блюда, Подходит для вегетарианцев, Для веганов
",19,26,13,13,30,16,14,12,9,5,6,3,3,2,2,2,2,2,1,20,41,21,13,35,9,22,25,14,2,"4,5,","5,","4,5","","4 5","5 ","4 5",""
