"restId","tag"
"1879291","酒吧"
"1879552","其他小吃"
"1879615","川菜"
"1883245","SPR Coffee"
"1883902","星巴克"
"1885162","更多咖啡厅"
"1885492","快餐简餐"
"1888231","新疆/清真"
"1889089","川菜"
"1889119","川菜"
"1889416","茶餐厅"
"1889683","小吃"
"1889881","川菜"
"1890274","其他江浙菜"
"1890997","快餐简餐"
"1891297","湘菜"
"1891624","寿司/简餐"
"1892449","意大利菜"
"1892551","熟食"
"1893208","茶馆"
"1893637","小吃"
"1894072","东北菜"
"1894465","熟食"
"1894726","家常菜"
"1895161","酒吧"
"1895356","西式甜点"
"1895455","淮扬菜"
"1896247","川菜"
"1896412","家常菜"
"1896973","云南菜"
"1897006","韩国料理"
"1897039","饺子"
"1897369","浙江菜"
"1898362","本帮菜"
"1898887","面包西点"
"1899286","冰淇淋"
"1899550","湘菜"
"1900210","韩国料理"
"1900276","白斩鸡"
"1900339","白斩鸡"
"1900375","白斩鸡"
"1900867","意大利菜"
"1901365","麻辣烫"
"1901497","比萨"
"1901530","比萨"
"1901596","比萨"
"1901626","比萨"
"1901659","星巴克"
"1901662","星巴克"
"1901695","星巴克"
"1901725","星巴克"
"1901758","星巴克"
"1901794","星巴克"
"1901860","星巴克"
"1901989","星巴克"
"1901992","面包"
"1902025","面包"
"1902058","面包"
"1902124","面包"
"1905952","淮扬菜"
"1906120","饮品"
"1906186","本帮菜"
"1906447","江西菜"
"1906513","西北菜"
"1909417","比萨"
"1909912","台湾菜"
"1910440","饮品"
"1910770","涮羊肉"
"1910866","快餐/简餐"
"1914040","其他小吃"
"1914235","港台甜品"
"1914961","快餐简餐"
"1915030","台湾菜"
"1915195","韩国料理"
"1915294","湘菜"
"1915654","韩国料理"
"1916251","茶餐厅"
"1916314","快餐简餐"
"1916383","其他中餐"
"1916608","本帮菜"
"1916707","烧烤"
"1916974","西北菜"
"1918099","快餐/简餐"
"1918330","本帮菜"
"1919056","羊蝎子"
"1919188","川菜"
"1919485","上岛咖啡"
"1919650","粉面馆"
"1920472","茶餐厅"
"1921426","川菜"
"1923439","意大利菜"
"1923871","快餐简餐"
"1924072","官府菜"
"1924696","小龙虾"
"1924858","茶馆"
"1926115","日式烧烤/铁板烧"
"1926184","其他火锅"
"1926577","韩国料理"
"1927138","小吃"
"1927501","本帮菜"
"1927831","小吃"
"1928593","粤菜"
"1929118","寿司/简餐"
"1929646","烧烤"
"1929712","本帮菜"
"1930570","零食"
"1930828","创意菜"
"1931230","小吃"
"1931986","创意菜"
"1932286","其他小吃"
"1932583","贵州菜"
"1932811","面包"
"1932943","本帮菜"
"1933339","面馆"
"1934989","韩国料理"
"1935058","粉面馆"
"1935322","意大利菜"
"1935748","火锅"
"1935847","火锅"
"1936114","熟食"
"1936837","烧烤"
"1936840","海鲜"
"1937302","上岛咖啡"
"1937401","小吃"
"1937863","面包西点"
"1938295","更多咖啡厅"
"1938655","比萨"
"1938718","家常菜"
"1939315","快餐简餐"
"1939351","韩国料理"
"1939678","粉面馆"
"1939681","粤菜"
"1939876","麻辣烫"
"1940698","粉面馆"
"1941064","日本料理"
"1942579","麻辣烫"
"1943437","SPR Coffee"
"1943503","小龙虾"
"1944070","韩国料理"
"1944889","老北京小吃"
"1945219","家常菜"
"1945417","川菜"
"1945453","新疆/清真"
"1945750","麻辣烫"
"1945879","牛排"
"1946014","面包西点"
"1947862","云南菜"
"1948261","面包西点"
"1948489","云南菜"
"1950268","韩国料理"
"1950529","粥店"
"1952347","麻辣烫"
"1953010","比萨"
"1953634","老北京小吃"
"1953667","羊蝎子"
"1953829","粤菜"
"1954231","生煎"
"1954363","更多咖啡厅"
"1954396","快餐/简餐"
"1955320","家常菜"
"1955386","新疆/清真"
"1955878","迪欧咖啡"
"1957498","川菜"
"1957597","农家菜"
"1958392","冰淇淋"
"1958590","星巴克"
"1958686","川菜"
"1958851","东北菜"
"1959049","川菜"
"1959409","小吃"
"1960003","烤鸭"
"1960498","本帮菜"
"1961686","茶馆"
"1961785","快餐/简餐"
"1961884","韩国料理"
"1962412","老北京小吃"
"1962478","烧烤"
"1962742","法国菜"
"1962937","其他西餐"
"1963204","宁波菜"
"1963369","SPR Coffee"
"1963372","SPR Coffee"
"1963468","快餐简餐"
