"review_text","review_stars","review_auth_id","review_date"
"Visited to enjoy Wing Wednesday. They were very accommodating to find a table for our party of six without a booking. Always enjoy the ambience and company of others at the local","4 из 5 кружков","747DEF0F844F1BBE660F6AD2EC670BC4","Отзыв написан 2 февраля 2017"
"Certainly an expat bar, but good beer, good food and a decent atmosphere with a selection of sports on tap to view.","5 из 5 кружков","AA930107B663BA9994157672B534F29C","Отзыв написан 30 ноября 2016"
"This is a typical American-style bar packed almost every night. Great selection of beers, cocktails and food. Stay indoors and play some games, or sit outside. It is up to you","4 из 5 кружков","2E1DD600CE87C17B3C9F62743FDE37E0","Отзыв написан 25 сентября 2016"
"I often say the local is like the Applebee's of Beijing, and I mean that in the BEST way possible. It's a home away from home - not flashy, cultured, or sophisticated - but it's reliable and it's comfortable. Also FYI: everyone who visits Beijing needs to try a Naughty Pear... Life. Changing.","5 из 5 кружков","7221F1C93BBF8D52B7C07A55E3226F6C","Отзыв написан 7 сентября 2016"
"This is the place to come for an excellent beer and watch sports. And not only that. There are happy hour deals and well priced food. Good selection of beers. I have mostly eaten burgers here (classic cheese burger and avocado burgers). They were both tasty, meat was done as it should be. Note that usually the place is not...
Ещё ","4 из 5 кружков","1A1EA155608170CF957F85E792A28337","Отзыв написан 29 августа 2016"
"The bar is nice however when busy difficult to get a table inside for the air conditioning. The range of beers is great including local beers on Tap and Cider. I have now visited 3 times and the Cheese Burger is very good, (in my top 5 for Beijing). And in summer the draft cider is very good. Recomend a...
Ещё ","4 из 5 кружков","2C9FB75951879C9AFB44331100BA7731","Отзыв написан 11 августа 2016"
"This place has come a long way in 2 years! And I mean a long way! New branding, new upstairs patio and a new menu. My husband, the non salad eater, won't stop telling people, (sometimes strangers) how good the Blue Cheese and Apple Salad is. Personally I'm a fan of the Hummus Wrap, that comes with a healthy dose...
Ещё ","5 из 5 кружков","9AF671EAC413537F4F4092EE7E4A52BA","Отзыв написан 27 июля 2016"
"The Local!, mit is mondhatnek europaikent a nagy-nagy Kinaban, neha jol esik valami mas izvilag, mint megszokott 18765 fele kinai...
Ещё ","5 из 5 кружков","38E442DAB1FEF49066A8F0ED0CC82081","Отзыв написан 26 июля 2016"
"Recommend the almond mudslide they are amazing good English speaking staff also and very friendly a lil hard to find but worth finding :)","5 из 5 кружков","0E52F4126384BFD7817376CCB9A87600","Отзыв написан 20 июня 2016"
"Let me start at the beginning. I crave authentic buffalo wings more then any other food. I was mesmerized that this place carries my favorite beer and buffalo wings. There is a LARGE variety of cheap drinks during happy hour and anything from steaks to bar food and pizza. There is a pool table which is free to play at......
Ещё ","5 из 5 кружков","89A7C0340346F15A38673B9E225563D1","Отзыв написан 17 марта 2016"
"Read a lot of good reviews so went there with some expectations. The place is nice, the atmosphere is cool until it gets too crowded but the food was really disappointing. The hamburger was uneatable. Maybe our expectations were too high. We will not come again.","3 из 5 кружков","D259EF0A9EBC4FC93DE3A8726AAF0D66","Отзыв написан 22 февраля 2016"
"Went twice there, had some-not-so-cheap beer, but didn't find it inviting enough for eating. Once there was so cold inside, that everybody were sitting in their winter jackets. I'll not going third time and that's a pity, cause the location it's very convenient to me.","1 из 5 кружков","287D6BF2859947403B8F5ED15D1954AE","Отзыв написан 5 декабря 2015"
"I have been to the Local quite a few times and its a great place for an afternoon beer at the weekend or for a beer in the evening. The place has a good atmosphere and the staff are always on hand to take your order. I have only eaten here once before and had a rather forgettable Macaroni Cheese....
Ещё ","4 из 5 кружков","EC651B3C8116EFD70B004DACF7099183","Отзыв написан 25 ноября 2015"
"I go there a lot. Food, drinks, live sports, setvice its all great! For awhile I did stop going there cause a waiter was very rude to us, i thought it wasn't worth it to go anymore. Then after 2 months i had to go again(because of my friend dragged me there)and the same waiter came over and apologized for...
Ещё ","4 из 5 кружков","8CB91F141443ABF88A172535B0DA36D0","Отзыв написан 16 ноября 2015"
"I just wanted to watch a Premier League game and have a normal beer in Beijing. Found this bar and...
Ещё ","5 из 5 кружков","07BD84C1C402D418CBD34F524570B286","Отзыв написан 22 сентября 2015"
"Really nice bar in a great location in Beijing. Good drinks selection with fair prices. Multiple screens for sports viewing. Pool table.. What really sets it apart from other places in Beijing is the authentic Buffalo wings which are half priced on Wednesdays. The burgers are also award winning although these days you can get pretty good burgers just about...
Ещё ","4 из 5 кружков","97E1D5D060A51AD7C07E2420D8A6B955","Отзыв написан 15 сентября 2015"
"This place has absolutely one of the best burgers in Beijing. When you also consider they make slamming nachos, a buffalo chicken sandwich good enough to make you slap your mama, pizza for pizza lovers, beef tacos that are some of the best in the city and wings that would make a wing lover cream their shorts, there isn't much...
Ещё ","5 из 5 кружков","76590E224208BE49BAB8AC7F3C4F8D9C","Отзыв написан 31 августа 2015"
"It has a good mix of drinks, and a good happy hour going between 5pm-8pm. Food is average to great depending on the dish. The steak with blue cheese is very good. They have international sport on the screens so its good for expats. There are a couple of outstanding servers who care and are professional but sadly most of...
Ещё ","4 из 5 кружков","512E95AE440813A18D6A034E5623DEE4","Отзыв написан 11 августа 2015"
"I think the Local delivers the best burger in town. The staff is friendly and professional, the quality of the food is outstanding, and the prices are reasonable, making this one of the best values in the area.","5 из 5 кружков","B22583E69F45228CAC62CA0B021E1F90","Отзыв написан 29 июля 2015"
"Second night in Beijing and our son took us to one of their recommended jaunts. It's a westernised type bar and grill with a pool table in one corner. Service was quick and the food cooked was for me to perfection. I went for the grilled Salmon with lemon sauce and was not disappointed. Infact it was one of the...
Ещё ","5 из 5 кружков","42F604DA63DB1C0B82EDEEA96E46B9AE","Отзыв написан 9 апреля 2015"
"The avocado chicken bacon wrap was really good. Great atmosphere free wifi. Owners were friendly and loved tastings from the menu. Also a great place to watch any sports and sing karaoke!","4 из 5 кружков","BAD09D3C361F19A6227582A1E8758E2A","Отзыв написан 16 марта 2015"
"I come here for lunch or occasionally dinner, and the food is definitely okay. But the real star here is their huge list of drinks and beers. They don't have many beers on tap, but the place makes up for it with the many in bottles that they carry. Plenty of imported, and local craft brews (including those on tap)...
Ещё ","3 из 5 кружков","4D6CEF75E162E09F42B51793382BEC11","Отзыв написан 5 марта 2015"
"We've been to the local quite a few times since moving to Beijing and it's a great bar for food and drink. On this occasion we brought some friends to the bar for a few drinks and some food. The drinks were very well priced and there is a wide range on offer. Bar service is usually excellent (whether from...
Ещё ","4 из 5 кружков","8A2DBE3F914A0D31262842C9981C0919","Отзыв написан 10 февраля 2015"
"Came here first time last Friday after work (I was on business trip). Nice pub, great atmosphere, free wifi. Fab place to meet up. there is a good selection of Beverages (alcoholic and non-alcoholic) are reasonably priced. Staff very friendly. Will come again if I'm in Beijing.","4 из 5 кружков","82888A28BD7A28A7C4A9D682512D3E7F","Отзыв написан 28 января 2015"
"The basic ""Pub"" food available. Serving sizes are good and service quick and efficient. Small outdoor area for the smokers!","4 из 5 кружков","747DEF0F844F1BBE660F6AD2EC670BC4","Отзыв написан 15 января 2015"
"Nice ""Local"" place. Like the variety selection of craft beer. Menu also has large variety to choose from. Staff has always been attentive each time visited. Will keep returning as long as in Beijing.","4 из 5 кружков","1CD06ED96899C8707127BE70C510AABD","Отзыв написан 7 января 2015"
"The bald owners are very aggressive, rude and arrogant towards customers. We went to watch the football in bar and grill as usual on a Saturday we don’t always go here but sometimes frequent it. To cut a long story short the owners wanted to fight or throw out me and my friend for asking to put football on the...
Ещё ","1 из 5 кружков","9398ED6BA4E763779FEAF7D3A35A88C5","Отзыв написан 1 декабря 2014"
