"","no_lat.name","no_lat.address","lon","lat"
"1","蓬瀛阁","昌平区中关村科技园区园振兴路5号",116.237947,40.204025
"2","福口居(西三旗店)","海淀区西三旗建材一里(近北新建材铁路)",116.35026,40.061641
"3","东方太阳城淮扬餐厅","近郊顺义区潮白河畔东方太阳城太阳会所1楼",NA,NA
"4","青城小厨","朝阳区十里堡北区炫特嘉园西门对面",116.504185,39.929951
"5","温州人家面馆","丰台区高庄29号",116.403267,39.849702
"6","小豆特味面","海淀区花园村路东",116.2331,40.02741
"7","重庆好吃街糊辣鱼火锅","海淀区首体南路2号东区家属院门口",116.326111,39.937113
"8","红红海鲜坊","大兴区黄村三中西巷20号",116.330693,39.733279
"9","优山美地俱乐部","近郊顺义区后沙峪镇榆阳路4号(近温榆河北岸)",NA,NA
"10","密云印象休闲会馆","近郊密云县溪翁庄七孔桥西(水库主坝对面)",NA,NA
"11","北门涮肉(地坛店)","东城区安定门外大街2号地坛公园北门东侧",116.415477,39.956896
"12","泊辣客香辣蟹","朝阳区外神路街39号院1号楼1-18号(日坛会馆北)",116.443746,39.919825
"13","国顺正宗驴肉饭店","近郊顺义李桥沿河路口(京平高速路南)",NA,NA
"14","京碗居(金隅公寓店)","大兴区亦庄开发区北环东路金泰公寓2栋12号",NA,NA
"15","毛家湘菜","昌平区中国政法大学东北街",116.246193,40.220995
"16","铁木真烧烤涮(昌平慧华苑店)","昌平区慧华苑小区北门(京客隆南侧)",NA,NA
"17","小西天鸭脖子","海淀区小西天牌楼往西200米路北",116.365627,39.951981
"18","金家汤饭(魏公村店)","海淀区魏公村民大家属院北门东(近加藤屋)",116.317031,39.953523
"19","乐得捞","大兴区黄村镇兴华大街三段25号加码时代广场1楼",116.3321,39.73677
"20","南城香(万年花城店)","丰台区樊家村纪家庙育芳园74号楼1楼",NA,NA
"21","双鱼特色烤翅","西城区德内定阜街38号(梅兰芳纪念馆对面)",NA,NA
